Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms)
2025-01-29,51,409.2915413703448,2652.313128742789,9.0,9,,,,,0.4983414144270849,3.0764024240272647,0.2615022256118552,3952,49.2147331237793,49.2147331237793,49.2147331237793,3172589,
2025-01-30,85,1490.4467705814,3880.105413330973,8.0,8,,,,,0.5001602950287999,2.262407072858679,0.32317675670401824,5885,,,,3615334,
2025-01-31,56,1459.1513431393562,2320.1666099575937,,,,,,,0.4222924305235726,2.199296535580586,0.25060629954469454,3486,,,,2090256,275743
2025-02-01,104,1481.0203350387785,4622.584776182723,9.0,9,,,,,0.5222223466774136,3.161899518183292,0.25060629954469454,6852,,,,3355032,
2025-02-02,122,1552.055826354793,5401.143825148655,5.0,5,,,,,0.6390961968834205,3.298374577003471,0.2615022256118552,8122,,,,5316598,
2025-02-03,49,1436.49678632155,2130.245520839169,1.0,1,,,,,0.38825045680527126,2.695065502153303,0.2615022256118552,3337,,,,2125565,
2025-02-04,107,1521.9810511552182,5070.79168145777,12.0,12,,,,,0.6150046883622703,2.444400743727817,0.2615022256118552,7686,,,,4485844,
2025-02-05,66,1409.4629066242285,3022.779766083068,6.0,6,,,,,0.5849634987184114,3.2156521710572212,0.29419000381333704,4510,,,,1379054,
2025-02-06,71,1442.4664734459225,3081.118727380618,7.0,7,,,,,0.7094207368433462,2.8799435759813847,0.2460488363159805,4702,,,,2290410,
2025-02-07,51,1408.1182840624726,2224.8554661663825,3.0,3,,,,,0.4645212962168277,3.3713447065613256,0.3159818559476584,3452,,,,1341924,
2025-02-08,125,1503.9302494579981,4854.217286074387,7.0,7,,,,,0.6260753835492093,3.392902494544742,0.25060629954469454,7344,,,,3987664,
2025-02-09,124,1517.0176979491198,4567.746601858555,1.0,1,,,,,0.4119558673870809,2.17222663198572,0.25060629954469454,7064,,,,4349059,
2025-02-10,73,1510.4614701747435,2959.7819311650073,8.0,8,,,,,0.4586261770981394,2.673052824124175,0.29419000381333704,4508,,,,4168016,
2025-02-11,112,1553.6457172275148,5554.237889570829,12.0,12,,,,,0.5087120645986417,3.4252454130619494,0.2661390652953675,8195,,,,5360501,
2025-02-12,115,1517.0982362901814,5612.621632482735,21.0,21,18.456029891967773,73.87701416015625,18.456029891967773,73.87701416015625,0.5930216924025216,4.378227838794967,0.25060629954469454,8280,,,,4351282,
2025-02-13,96,1491.3806039314,5311.718258469408,7.0,7,18.455373764038086,73.87760162353516,18.460220336914062,73.88453674316406,0.615768912089206,3.2487324430147373,0.11377487601019756,7344,,,,3641119,
2025-02-14,85,1498.6115546103429,4284.322561330046,11.0,11,18.450990676879883,73.8775634765625,18.461042404174805,73.88445281982422,0.5016025254950827,1.3387051506501644,0.2129668100753558,6731,,,,3840794,
2025-02-15,64,1435.882785115577,2659.527791164244,4.0,4,,,,,1.1075908909315801,2.178592707124272,0.2615022256118552,4069,,,,2108611,
2025-02-16,91,1450.268622993302,4454.660929552067,5.0,5,,,,,0.7471351637932697,2.6383432612493563,0.2601982154398935,6671,,,,2505858,
2025-02-17,125,1544.8690609687299,5553.296457785033,15.0,15,18.455738067626953,73.8729248046875,18.457164764404297,73.8773422241211,0.4919489279438455,3.059594191152131,0.01013487382259043,8480,,,,5118145,
2025-02-18,134,1596.016983925656,6778.621323391301,32.0,32,18.451431274414062,73.87703704833984,18.46094512939453,73.8846206665039,0.6326001556838244,2.8214851339626517,0.17813211953047084,10711,,,,6529291,
2025-02-19,98,1584.3329425706227,5824.768754924592,23.0,23,18.4528751373291,73.87776184082031,18.46092987060547,73.88245391845703,0.8540343705958618,2.998763269044343,0.015187205918376715,8123,,,,6207893,
2025-02-20,88,1519.5424053055408,3610.9493352962063,2.0,2,18.453479766845703,73.87769317626953,18.45562744140625,73.87947845458984,0.4228559397843372,2.229714961163574,0.2615022256118552,5526,,,,4416914,
2025-02-21,89,1444.1179299002595,4419.817581071327,11.0,11,18.455650329589844,73.86943817138672,18.4570255279541,73.87625122070312,0.772248554686737,2.7327204647393883,0.28329407774617643,6912,,,,2336014,
2025-02-22,9,565.7086292077387,464.80309317814215,3.0,3,,,,,0.7699510415551829,1.4173794464068623,0.29546671880885533,693,,,,272399,
